texto,real
"Loves the song, so he really couldn't wait to play this. A little less interesting for him so he doesn't play long, but he is almost 3 and likes to play the older games, but really cute for a younger child.",3
"Oh, how my little grandson loves this app. He's always asking for ""Monkey."" Grandma has tired of it long before he has. Finding the items on each page that he can touch and activate is endlessly entertaining for him, at least for now. Well worth the $.99.",5
"I found this at a perfect time since my daughter's favorite song at the moment is five little monkeys. It's easy for little ones to operate and fun with all the things you can play with. The different generes are nice too, gives its a little variety.  Worth the money. Highly recommended!",5
My 1 year old goes back to this game over and over again.  It is simple but very easy for a toddler to use.  I've even caught my 5 year old playing it as well.  Good app for little guys!,5
"There are three different versions of the song. The game itself keeps her occupied as everything she clicks on does something! There is an airplane that flies around the room, a telephone that rings and is plays a message, the lamp turns off the light and you see the monkeys eyes going up and down in the dark, a dog that barks when you click the window and then chases a cat out from under the bed every third time, the picture on the wall becomes an interactive portrait, the traffic light stops/starts the monkeys jumping, alarm clock rings, plant grows (and produces bananas), ball bounces, toy truck rumbles and honks.... lots to keep a toddler occupied! Oh! The monkeys jump on and fall off the bed! Mama calls the doctor, etc! It's great.",5
THis is just so cute and a great app for little ones. My 16 mo old loves it. She thinks it's so funny and gets a kick out of the song.,5
I watch my great grandson 4 days a week and it's hard to keep a 16 month old occupied but all I have to do is turn on Five Little Monkeys and he goes crazy trying to get the monkey's off the bed and touching all the other interactive things on the screen. I love this! I absolutely recommend this!,5
"This app is wild and crazy.  Little ones love singing the song about Five Little Monkeys, in this app it is available in country, rock or pop.  It is full of action with the player controlling most of it but it has a lesson included.",5
"love love love this app. I was going through different apps for my son and I came across this one and I was excited and singing along to the song, only problem is that the song is very quite",5
"Very cute, with alot of items to move about.  Would be awesome if the &#34;dr. said&#34;  was in a different voice and moved too.",5
WELL THE CHILDREN LOVE IT AFTER AWHILE YOU GET TIERD OF IT BUT AS LONG AS THE GRANDCHILDREN LIKE IT YOU LISTEN TO IT,4
"I got this app because my 2 year old daughter loves the song. I found that the audio could have been clearer. They also could have had better or more tune options, they only offered 'rock', country', and 'pop', which I thought were horrible for this children's song. I do like that it's interactive. Everything you touch in the room does something different. Phone rings, dog chases the cat, door opens, clock goes off, etc.....neat. My daughter also enjoys all the other interactive features it has other than the monkeys falling off the bed. &#34;Wheels on the bus&#34; app by &#34;duck duck moose&#34; ranks higher because you have much more options like changing the language, gender voice options, instrumental, and self record which my daughter finds hilarious when she hears her own voice.  Overall it's ok and she likes to see the monkeys fall off the bed.",3
My three year old Plays this game the most he loves being able to touch all the different things and watch what happens. Keeps him busy for hours,5
"Good for little ones, especially if  know the nursery rhyme.  Once you show them what to click on they pick it up fast.",3
My two year old grandson loves this game and plays it constantly !!  Keeps him busy for quite some time.,5
My granddaughter really loves this. She will listen to all 3 types of music with it and is not yet tired of it.,5
"love it, but wish it was fullscreen on honeycomb. the songs and animations are quite catchy. great for any preschool teacher or parent of you guns.",4
does not let you sample only for a sec. if you download  it to computer it talk your music you have try to sell it back to too. if you join with a membership and if you don't pay they  sell your music on your computer . how when you combine your to there player . i know cause the did it to me had rhapsody a long time unit  it happen i close the account . don't mine paying. but not for music i have  before that . had the old look . at the time now it worse,1
this is a very good app and it you need this service then this is the app for you to enjoy.,5
"It's easy to use and transfer songs. If I purchase songs I usually use iTunes but Rhapsody allows me to get songs and listen to them before I purchase them. However, some albums are only allowed to be purchased which I find annoying. I think they need to allow subscribers to get them for the fee. After all we can not keep them if we are not subscribers.",4
