texto,real
@follow_sapien @jussttinnn___ @eugenegu @joebiden and nobody nobody wishes any ill will on anyone but people like you,-1
"@mastergboo @timefortruth16 @joebiden let me ask you back, hoe can you sleep at night? everything they did in secret is already out there, almost every freakin thing, and you are just acting as if it’s no big deal! are you related to these people somehow?",0
@joebiden ❤️&amp;🙏 be safe @joebiden /harris 2020 😊😷,1
. @dnc @thedemocrats @jomalleydillon how are you not prepping @joebiden with this graph when you know trump is going to claim “best economy ever”??? @joebiden was there! the numbers don’t lie!! what are you doing?!!!! #presidentialdebate2020 https://t.co/m994zweksu,0
"gorgeous day to vote early in virginia💙 @arlingtondems @arlingtonyds voted for @joebiden @kamalaharris @markwarner @repdonbeyer @libbygarvey education, environment, etc☀️ #beavoter convenient how early voting began while address still matches license since we’re moving today https://t.co/aqudptzaun",1
@kayleighmcenany @joebiden use a jamming devise and blow-out his ear drums,0
@joebiden both of y’all terrible,-1
"@jasonrobergeva @joebiden let’s go to the replay to have a look at jason’s post-tweet sense of smug satisfaction before the ratio crushed his black, ice-cream-hating soul: https://t.co/biiwelicvv",0
@joebiden and you couldn’t say law enforcement or antifa.,0
@mmarchetti7 @joebiden he’s had a negative test ding bat,-1
"@thea_burke @joebiden finally, welcome 💙💙💙",1
@blackvoices4djt @teamtrump @joebiden https://t.co/9lgoqtntrg,0
looking forward to the day when #hbcu #youthvote turnout puts @joebiden and @kamalaharris over the top to win north carolina and the whole election. shout out @henrycapersjr2 and the rest of the hbcu grads/students on the @nextgenamerica nc team! https://t.co/aghtodtljv,1
retweeting this again. @joebiden roll the ads. he's full of crap,-1
@lissthesassy @donaldtrumpjr @joebiden when i click on the link it says account suspended @donaldtrumpjr,0
@joebiden you will be whatever the left tells you to be. your foundation is sand. trump 2020,-1
@joebiden @kamalaharris you really think anyone buys your bs? there are only two types of voters: those who love @potus and will vote for him. and those who hate @potus and will vote against him.,-1
@michellemalkin @jlptalk . @joebiden #antifa is not an idea,0
"@purnimanath @joebiden @chriswallace101 @foxnews purnima di, where is he wired, can't see anything like earpiece in the screenshots...?",0
@kastlekook @joebiden this is not a republican with his feet on fire from a democrat’s molatov cocktail. you do your fantasy that it’s trump’s fault that dem are violent af and riot constantly. as @joebiden for 3+ months cheered it on with his silence. and enjoy this. your buddy. https://t.co/czqoks6ap2,-1
@joebiden except some of us (that would be you) tell our president to shut up! #rude #shameful #unpresidential #needtoapologize we’re not all alike @joebiden . we are unlike you.,-1
@joebiden i had enough of you groping kids! grown up and if want to be president start acting like it you old fool. time to hire some new advisors and media folks because the ones you have suck!,-1
@islandgirlpixie @joebiden i’m praying for you so sorry you and others have to go through this pain a mother’s love is,1
@steveschmidtses @joebiden i have to agree. he’s on the ropes. knock him the hell out! # @joebiden harristosaveamerica,1
@trumpnone @buzzpatterson @joebiden genuine question - were you comfortable with trump's comments when clinton had pneumonia? or his imitation of a disabled person?,0
@ssd_wariock @scottinclearh2o @sam_vinograd @speakerpelosi @joebiden whatever you say boris.,0
@joebiden @zebrafarm2000 https://t.co/6tjkgj1sjg,1
" @joebiden sir he never called beau a loser, he was calling hunter a loser",0
@mishacollins @joebiden you're adorable and i love that you chose to share this with us. yaaay for celebrating exciting twitter things! also: https://t.co/adulieoodz,1
